n,set,Xloc,Yloc,Landuse,Rock,Rock_name,Cd,Co,Cr,Cu,Ni,Pb,Zn,Cd_log2,Cd_log10,Cd_ln,Pb_log2,Pb_log10,Pb_ln
1,cal,2.386,3.077,3,3,Sequanian,1.74,9.32,38.32,25.72,21.32,77.36,92.56,0.799087306,0.240549248,0.553885113,6.27351589,1.888516461,4.348469851
2,cal,2.544,1.972,2,2,Kimmeridgian,1.335,10,40.2,24.76,29.72,77.88,73.56,0.416839742,0.125481266,0.288931292,6.283180979,1.891425943,4.355169181
3,cal,2.807,3.347,2,3,Sequanian,1.61,10.6,47,8.88,21.4,30.8,64.8,0.687060688,0.206825876,0.476234179,4.944858446,1.488550717,3.42751469
4,cal,4.308,1.933,3,2,Kimmeridgian,2.15,11.92,43.52,22.7,29.72,56.4,90,1.10433666,0.33243846,0.765467842,5.817623258,1.751279104,4.032469159
5,cal,4.383,1.081,3,5,Quaternary,1.565,16.32,38.52,34.32,26.2,66.4,88.4,0.646162657,0.194514342,0.447885824,6.053111336,1.822168079,4.195697056
6,cal,3.244,4.519,3,5,Quaternary,1.145,3.508,40.4,31.28,22.04,72.4,75.2,0.195347598,0.058805487,0.135404637,6.177917792,1.859738566,4.282206299
7,cal,3.925,3.785,3,5,Quaternary,0.894,15.08,30.52,27.44,21.76,60,72.4,-0.161653263,-0.048662481,-0.112049504,5.906890596,1.77815125,4.094344562
8,cal,2.116,3.498,3,1,Argovian,0.525,4.2,25.4,66.12,9.72,141,72.08,-0.929610672,-0.279840697,-0.644357016,7.139551352,2.149219113,4.94875989
9,cal,1.842,0.989,3,1,Argovian,0.24,4.52,27.96,22.32,11.32,52.4,56.4,-2.058893689,-0.619788758,-1.427116356,5.711494907,1.719331287,3.958906591
10,cal,1.709,1.843,3,3,Sequanian,0.625,12.08,33.32,18.72,16.88,41.6,75.6,-0.678071905,-0.204119983,-0.470003629,5.378511623,1.619093331,3.728100167
11,cal,3.8,4.578,3,1,Argovian,3.873,9.84,46,22.24,21.64,46,143.2,1.953451501,0.588047497,1.354029401,5.523561956,1.662757832,3.828641396
12,cal,2.699,1.199,1,1,Argovian,1.425,7.56,40.8,8.76,15.72,56.4,66.8,0.510961919,0.153814864,0.354171814,5.817623258,1.751279104,4.032469159
13,cal,3.033,4.384,3,5,Quaternary,0.455,2.368,19.24,21.36,7.08,38.36,37.88,-1.13606155,-0.341988603,-0.78745786,5.261530815,1.583878598,3.64701525
14,cal,4.232,1.588,1,2,Kimmeridgian,1.025,8.84,28.32,5.88,17.4,52.8,47.6,0.03562391,0.010723865,0.024692613,5.722466024,1.722633923,3.966511191
15,cal,4.75,1.369,3,2,Kimmeridgian,0.775,11.96,35.6,17.6,23.76,32.92,70.8,-0.367731785,-0.110698297,-0.25489225,5.040892431,1.517459827,3.494080376
16,cal,2.341,4.135,3,1,Argovian,0.62,5.32,31,18.52,10.8,42,46.8,-0.689659879,-0.207608311,-0.478035801,5.392317423,1.62324929,3.737669618
17,cal,2.827,3.667,3,5,Quaternary,0.4,4.68,20.52,3.96,6.68,21.48,25.2,-1.321928095,-0.397940009,-0.916290732,4.424922088,1.332034277,3.06712227
18,cal,3.043,4.692,3,1,Argovian,0.625,3.536,25.2,8.24,11.32,29.92,31.32,-0.678071905,-0.204119983,-0.470003629,4.90303827,1.475961589,3.398527153
19,cal,1.687,1.174,3,1,Argovian,0.355,3.64,18.4,21.56,6.64,46.8,39.56,-1.49410907,-0.449771647,-1.03563749,5.548436625,1.670245853,3.845883203
20,cal,2.235,2.386,3,5,Quaternary,1.585,12.44,40.56,40.88,25.08,88.68,114.28,0.66448284,0.200029267,0.460584407,6.470536865,1.947825684,4.485034385
21,cal,3.122,1.695,3,2,Kimmeridgian,1.885,12.92,44,35.92,34.72,72.88,120.28,0.914564523,0.275311355,0.633927821,6.187451054,1.862608364,4.288814253
22,cal,2.219,2.774,2,2,Kimmeridgian,1.3,13.04,32.48,8.8,31.52,56.52,71.76,0.378511623,0.113943352,0.262364264,5.820689561,1.752202153,4.034594558
23,cal,3.185,2.092,3,2,Kimmeridgian,1.575,11.2,35.72,22.12,35,43.68,90.68,0.655351829,0.197280558,0.454255272,5.448900951,1.64028263,3.776890331
24,cal,3.514,5.119,2,1,Argovian,4.191,9.28,52,15.48,21.76,33.36,145.6,2.067294521,0.622317661,1.432939369,5.060047384,1.523226042,3.507357577
25,cal,4.459,2.624,1,2,Kimmeridgian,1.485,6.84,19,11.16,15.84,34.64,82.8,0.570462931,0.171726454,0.395414772,5.114367025,1.539577883,3.545009084
26,cal,4.339,1.473,3,5,Quaternary,0.915,10.8,32.72,39.8,18.6,64.8,86,-0.128156351,-0.038578906,-0.088831214,6.017921908,1.811575006,4.171305603
27,cal,4.92,1.417,3,2,Kimmeridgian,0.705,8.56,30.28,15.76,21.96,39.52,66.4,-0.504304837,-0.151810883,-0.349557476,5.304511042,1.596816936,3.676806873
28,cal,3.648,3.78,3,2,Kimmeridgian,0.62,14.16,28.56,48.8,24.44,63.2,78,-0.689659879,-0.207608311,-0.478035801,5.981852653,1.800717078,4.146304301
29,cal,2.916,4.916,1,1,Argovian,0.885,6.28,27.92,4.52,13.88,37.16,46.8,-0.17625064,-0.053056729,-0.122167634,5.215678597,1.570075705,3.615232914
30,cal,3.127,1.691,3,2,Kimmeridgian,1.96,13.4,45.2,47.12,35.12,93.92,123.84,0.970853654,0.292256071,0.672944473,6.553360503,1.972758084,4.542443356
31,cal,3.441,4.719,2,5,Quaternary,3.155,9.28,62.4,48.8,24.28,55.6,151.6,1.657640005,0.498999364,1.148988496,5.797012978,1.745074792,4.018183201
32,cal,3.336,4.613,3,5,Quaternary,1.28,5.92,38.52,24.96,23.28,49.2,81.6,0.35614381,0.10720997,0.246860078,5.62058641,1.691965103,3.895893623
33,cal,3.649,2.674,1,2,Kimmeridgian,1.785,7.44,23.72,9.652,17.72,58.4,58,0.835924074,0.25163822,0.579418415,5.867896464,1.766412847,4.06731589
34,cal,3.875,4.924,3,5,Quaternary,1.895,11.48,52,25.28,26.72,35.6,141.6,0.922197848,0.277609214,0.639218839,5.153805336,1.551449998,3.572345638
35,cal,2.612,4.114,3,1,Argovian,0.57,4.88,27.32,33.8,7.44,58.4,47.6,-0.810966176,-0.244125144,-0.562118918,5.867896464,1.766412847,4.06731589
36,cal,2.34,4.141,3,1,Argovian,0.54,5.48,35.72,17.4,10.6,36.88,53.2,-0.888968688,-0.26760624,-0.616186139,5.204766751,1.566790912,3.607669399
37,cal,3.811,1.318,3,2,Kimmeridgian,0.75,12.6,36.2,16.4,26.6,39.8,80.8,-0.415037499,-0.124938737,-0.287682072,5.314696526,1.599883072,3.683866912
38,cal,3.661,3.788,3,2,Kimmeridgian,0.875,14.64,28.88,65.2,20.8,69.6,76.4,-0.192645078,-0.057991947,-0.133531393,6.121015401,1.84260924,4.242764567
39,cal,4.34,3.736,2,3,Sequanian,2.818,11.24,35.04,29.12,21.96,46,80.8,1.494671612,0.449940989,1.036027413,5.523561956,1.662757832,3.828641396
40,cal,2.972,0.988,2,3,Sequanian,3.805,9.16,67.04,112.04,28.88,229.56,219.32,1.927896454,0.580354661,1.336315991,7.842727469,2.360896216,5.436164433
41,cal,2.286,3.068,3,3,Sequanian,0.605,9.68,27.32,28.8,12.8,56.6,67.16,-0.724992953,-0.218244625,-0.502526821,5.822730148,1.752816431,4.036008985
42,cal,1.813,2.116,3,3,Sequanian,1.003,11.32,33.48,21.2,20.56,48.8,110,0.004321606,0.001300933,0.002995509,5.608809243,1.688419822,3.887730313
43,cal,3.379,4.308,3,5,Quaternary,1.9,8.52,46.4,10.28,24.8,36.44,83.6,0.925999419,0.278753601,0.641853886,5.187451054,1.561578368,3.595667072
44,cal,1.965,2.807,3,3,Sequanian,0.895,12.6,41.6,60.72,24.16,89.68,102.44,-0.160040413,-0.048176965,-0.110931561,6.486714373,1.9526956,4.496247779
45,cal,3.559,4.009,2,3,Sequanian,4.02,6.16,60.8,21.08,21.96,52,101.6,2.007195501,0.604226053,1.391281903,5.700439718,1.716003344,3.951243719
46,cal,2.267,4.189,3,1,Argovian,0.56,6.64,35.12,12.72,11.12,39.64,57.2,-0.836501268,-0.251811973,-0.579818495,5.308885057,1.598133646,3.679838709
47,cal,2.965,1.002,2,3,Sequanian,1.39,10.36,45.6,57.2,24.6,129.2,149.2,0.475084883,0.1430148,0.329303747,7.01346226,2.111262514,4.861361591
48,cal,3.12,1.469,1,3,Sequanian,1.91,2.12,31.12,11.6,8,69.16,50.4,0.933572638,0.281033367,0.647103242,6.111865964,1.839854985,4.236422661
49,cal,3.454,4.654,2,5,Quaternary,1.07,7.8,38.24,10.88,19.92,29.88,70.8,0.097610797,0.029383778,0.067658648,4.901108243,1.475380593,3.39718936
50,cal,1.071,1.567,2,3,Sequanian,0.795,9.96,29.08,9.92,15.28,37.48,65.6,-0.330973234,-0.099632871,-0.229413164,5.228049048,1.573799582,3.623807457
51,cal,3.573,3.542,3,5,Quaternary,0.55,9.56,26.6,50.4,16,77.2,76,-0.862496476,-0.259637311,-0.597837001,6.270528942,1.8876173,4.346399457
52,cal,3.331,4.609,3,5,Quaternary,1.255,7,42.8,49.6,25.44,80.4,101.6,0.327687364,0.098643726,0.227135573,6.329123596,1.905256049,4.387014176
53,cal,3.541,1.739,4,3,Sequanian,2.055,6.32,29.8,10.8,20.8,43.6,59.36,1.039138394,0.312811826,0.720275848,5.44625623,1.639486489,3.77505715
54,cal,3.303,3.963,3,3,Sequanian,1.22,11,34.04,51.6,20.32,80.8,90,0.286881148,0.086359831,0.198850859,6.336283388,1.907411361,4.391976966
55,cal,3.316,2.987,3,5,Quaternary,0.975,14.6,33,30.1,23.6,48.8,83.2,-0.036525876,-0.010995384,-0.025317808,5.608809243,1.688419822,3.887730313
56,cal,1.879,1.171,3,1,Argovian,0.465,4,24.64,23.32,9.16,54.8,44.4,-1.104697379,-0.332547047,-0.765717873,5.776103988,1.738780558,4.003690194
57,cal,1.122,2.267,3,2,Kimmeridgian,1.145,11.08,37.08,14.8,31.56,47.6,74.4,0.195347598,0.058805487,0.135404637,5.572889668,1.677606953,3.862832761
58,cal,4.423,1.078,3,5,Quaternary,1.525,16.92,38.6,22,26.8,46.8,87.6,0.608809243,0.183269844,0.42199441,5.548436625,1.670245853,3.845883203
59,cal,1.241,1.155,1,1,Argovian,1.455,4.52,20.2,7.28,12.68,36.52,39.6,0.541019153,0.162862993,0.375005901,5.19061486,1.562530769,3.597860056
60,cal,1.706,1.848,3,3,Sequanian,1.12,11.92,34.84,20.72,19.96,41.2,83.2,0.163498732,0.049218023,0.113328685,5.364572432,1.614897216,3.718438256
61,cal,3.26,5.42,3,2,Kimmeridgian,1.819,11.72,38.04,17.6,28.6,35.8,82.4,0.863145543,0.259832699,0.5982869,5.161887682,1.553883027,3.577947893
62,cal,4.081,0.897,3,5,Quaternary,0.495,11.2,22.4,14.32,10.92,32.76,50.4,-1.01449957,-0.305394801,-0.703197516,5.033863452,1.515343893,3.489208259
63,cal,3.077,2.926,2,2,Kimmeridgian,2.12,10.12,35.32,12.32,21.52,42.4,64.8,1.084064265,0.326335861,0.751416089,5.40599236,1.627365857,3.747148362
64,cal,3.406,4.741,2,5,Quaternary,2.15,7.32,48,28.96,19.72,42.8,120.8,1.10433666,0.33243846,0.765467842,5.419538892,1.631443769,3.756538103
65,cal,3.699,3.8,3,2,Kimmeridgian,0.65,11.6,27.44,35.56,19.28,80.8,74,-0.621488377,-0.187086643,-0.430782916,6.336283388,1.907411361,4.391976966
66,cal,1.619,2.883,3,3,Sequanian,0.84,6.8,30.56,22.84,16.08,50.4,58.8,-0.251538767,-0.075720714,-0.174353387,5.655351829,1.702430536,3.919991175
67,cal,3.196,1.814,1,2,Kimmeridgian,3.925,12.92,25.6,47.4,26.12,84.16,92.36,1.972692654,0.593839661,1.367366351,6.3950628,1.925105727,4.432719749
68,cal,3.447,4.733,2,5,Quaternary,1.98,8.4,40.8,27.12,17.68,39.92,108,0.98550043,0.29666519,0.683096845,5.319039816,1.601190533,3.686877451
69,cal,3.009,4.738,3,1,Argovian,0.45,3.536,25.64,12.44,10,34,39.4,-1.152003093,-0.346787486,-0.798507696,5.087462841,1.531478917,3.526360525
70,cal,3.452,4.736,2,5,Quaternary,2.96,7.2,45.2,38.96,15,70.4,148.4,1.565597176,0.471291711,1.085189268,6.137503524,1.847572659,4.254193263
71,cal,2.908,1.263,3,1,Argovian,1.685,9.84,31.28,9.4,14.72,34.56,84.32,0.752748591,0.226599905,0.521765564,5.111031312,1.538573734,3.542696944
72,cal,4.578,1.512,3,2,Kimmeridgian,1.305,13.52,45.52,17.5,27.2,38.96,77.6,0.384049807,0.115610512,0.266203041,5.283921772,1.590618948,3.662535479
73,cal,3.512,5.124,2,1,Argovian,4.227,9.64,48.4,16.88,22.92,34.64,136.8,2.079634112,0.626032248,1.441492522,5.114367025,1.539577883,3.545009084
74,cal,3.312,2.991,3,5,Quaternary,0.98,12.52,32.6,22.7,19.4,41.6,72.8,-0.029146346,-0.008773924,-0.020202707,5.378511623,1.619093331,3.728100167
75,cal,2.159,2.041,3,2,Kimmeridgian,1.57,10.44,37.72,17.44,28.32,49.6,81.6,0.650764559,0.195899652,0.451075619,5.632268215,1.695481676,3.903990834
76,cal,4.742,1.381,3,2,Kimmeridgian,0.86,11.88,32.72,15.12,23.48,32.84,63.6,-0.217591435,-0.065501549,-0.15082289,5.037382222,1.516403148,3.491647285
77,cal,3.592,4.027,2,3,Sequanian,2.17,10.84,55.2,12.52,29.48,37.68,74.4,1.117695043,0.336459734,0.774727168,5.23572706,1.576110894,3.62912945
78,cal,3.152,3.272,3,2,Kimmeridgian,1.56,12.8,42.6,34,23.52,76.4,94,0.641546029,0.193124598,0.444685821,6.255500733,1.883093359,4.335982696
79,cal,4.781,1.375,3,2,Kimmeridgian,0.81,10.88,27.44,12.08,20.84,36.28,58.8,-0.304006187,-0.091514981,-0.210721031,5.181102551,1.559667278,3.591266625
80,cal,2.319,2.405,3,5,Quaternary,1.71,12.84,43.4,56.24,26.96,104.68,125.4,0.773996325,0.23299611,0.536493371,6.709842019,2.019863714,4.650908078
81,cal,3.617,2.084,3,2,Kimmeridgian,0.845,12.8,33.72,27.92,26.2,78.8,79.6,-0.242976753,-0.073143291,-0.168418652,6.300123725,1.896526217,4.366912997
82,cal,2.278,0.929,3,1,Argovian,0.357,4.08,19.36,13.24,6.56,35.4,46.8,-1.486004021,-0.447331784,-1.030019497,5.145677455,1.549003262,3.56671182
83,cal,3.792,2.695,1,2,Kimmeridgian,1.535,6.76,20.32,5.88,13.4,55.2,52.4,0.618238656,0.18610838,0.428530381,5.786596362,1.741939078,4.010962953
84,cal,4.113,2.7,1,2,Kimmeridgian,1.285,1.552,8.72,13.64,7.16,84.4,65.2,0.361768359,0.108903128,0.250758718,6.399171094,1.926342447,4.435567402
85,cal,3.043,4.698,3,1,Argovian,1.82,3.924,27.36,7.6,10.44,27.04,39.8,0.86393845,0.260071388,0.598836501,4.757023247,1.432006687,3.297317251
86,cal,3.271,2.16,3,5,Quaternary,0.945,13.32,37.8,37.4,32.6,59.04,104.36,-0.081613766,-0.024568191,-0.056570351,5.883620816,1.771146349,4.07821518
87,cal,1.433,1.525,3,5,Quaternary,1.605,7.36,67.6,13.48,16.2,49.6,75.2,0.682573297,0.205475037,0.473123757,5.632268215,1.695481676,3.903990834
88,cal,3.184,2.098,3,2,Kimmeridgian,2.23,11.92,37.8,24.6,37.72,44.88,96.6,1.15704371,0.348304863,0.802001585,5.488000771,1.652052848,3.803992261
89,cal,3.675,4.293,2,3,Sequanian,0.89,8.6,37.68,4.4,22.96,26.76,66,-0.168122759,-0.050609993,-0.116533816,4.742006211,1.427486109,3.286908235
90,cal,3.681,5.69,2,2,Kimmeridgian,1.898,12.64,54,15.16,28.36,59.2,86,0.924479992,0.278296208,0.6408007,5.887525271,1.772321707,4.080921542
91,cal,2.461,3.423,4,5,Quaternary,0.37,3.14,22.6,15.72,6.08,29.36,47.2,-1.434402824,-0.431798276,-0.994252273,4.875780063,1.467756051,3.379633204
92,cal,4.576,1.411,3,2,Kimmeridgian,1.38,11.28,37.6,15.64,25.76,34.44,71.6,0.464668267,0.139879086,0.322083499,5.106013238,1.537063143,3.53921868
93,cal,2.223,0.58,3,2,Kimmeridgian,0.285,9.6,38,14.16,24.52,44,76,-1.810966176,-0.54515514,-1.255266099,5.459431619,1.643452676,3.784189634
94,cal,3.031,1.201,3,3,Sequanian,0.61,6.44,21.84,16.4,10.36,52.56,51.24,-0.713118852,-0.214670165,-0.494296322,5.715893371,1.720655357,3.961955374
95,cal,3.347,2.505,1,2,Kimmeridgian,0.625,6.96,33.2,5.36,19.2,41.2,43.6,-0.678071905,-0.204119983,-0.470003629,5.364572432,1.614897216,3.718438256
96,cal,2.465,4.003,3,1,Argovian,0.325,3.192,21.4,9.72,4.72,24.64,35.08,-1.621488377,-0.488116639,-1.123930097,4.622930351,1.391640703,3.204371139
97,cal,3.175,2.102,3,2,Kimmeridgian,1.985,12.2,38.4,18.92,37.2,42.68,89.84,0.989139007,0.297760511,0.685618914,5.415488271,1.630224411,3.753730426
98,cal,3.733,0.974,3,2,Kimmeridgian,0.95,8.92,40.8,15.4,26.52,36.6,74,-0.074000581,-0.022276395,-0.051293294,5.193771743,1.563481085,3.60004824
99,cal,3.085,1.677,3,2,Kimmeridgian,2.04,11.8,40.4,26.2,29.8,63.92,107.2,1.028569152,0.309630167,0.712949808,5.998195503,1.805636766,4.157632301
100,cal,2.595,3.638,3,5,Quaternary,0.325,3.712,14.52,17.52,4.76,44.4,40.8,-1.621488377,-0.488116639,-1.123930097,5.472487771,1.64738297,3.793239469
101,cal,4.279,3.283,3,2,Kimmeridgian,0.83,13.36,33.6,19.2,24.64,36.36,84.4,-0.268816758,-0.080921908,-0.186329578,5.184280294,1.560623875,3.593469269
102,cal,2.933,0.978,2,3,Sequanian,0.8,12.4,31.44,166.4,16,146.8,100.4,-0.321928095,-0.096910013,-0.223143551,7.197708158,2.166726056,4.989071116
103,cal,3.59,4.033,2,3,Sequanian,2.08,7.92,56.4,11.52,24.84,37.56,79.6,1.056583528,0.318063335,0.732367894,5.231125158,1.574725584,3.625939654
104,cal,2.883,1.237,3,1,Argovian,2.55,8.52,31.24,12.12,16.12,36.56,96.96,1.350497247,0.40654018,0.936093359,5.192194165,1.563006187,3.598954747
105,cal,2.429,1.62,3,3,Sequanian,2.535,11.84,52.4,31.96,26.64,77.6,126.8,1.341985747,0.403977964,0.930193637,6.277984747,1.889861721,4.351567427
106,cal,2.333,2.417,3,5,Quaternary,1.435,9.12,37.44,53.2,21.32,107.6,110.32,0.521050737,0.156851901,0.361164849,6.749534268,2.031812271,4.678420648
107,cal,0.626,1.652,1,2,Kimmeridgian,0.375,7.28,33.32,4.2,14.4,37.12,46.4,-1.415037499,-0.425968732,-0.980829253,5.214124805,1.569607968,3.614155908
108,cal,2.969,0.778,2,2,Kimmeridgian,1.93,12.44,43.04,77.32,33.76,157.28,166.28,0.948600847,0.285557309,0.657520003,7.297191417,2.1966735,5.058027656
109,cal,0.971,1.576,3,3,Sequanian,1.215,10.08,29.28,9.8,15.2,35.64,64,0.280956314,0.084576278,0.194744077,5.155425432,1.551937695,3.573468603
110,cal,1.392,1.846,3,3,Sequanian,1.05,10.6,39.24,7.44,20,37.68,48.4,0.070389328,0.021189299,0.048790164,5.23572706,1.576110894,3.62912945
111,cal,2.54,3.32,3,3,Sequanian,1.26,9.76,45.32,17.2,17.6,53.6,62.8,0.333423734,0.100370545,0.231111721,5.744161096,1.72916479,3.981549068
112,cal,1.738,1.771,3,3,Sequanian,0.685,11.92,33.64,19.64,16.24,41.6,76,-0.545824107,-0.164309429,-0.378336441,5.378511623,1.619093331,3.728100167
113,cal,2.243,3.031,3,3,Sequanian,0.705,11.8,29.92,19.2,14.6,34,59.88,-0.504304837,-0.151810883,-0.349557476,5.087462841,1.531478917,3.526360525
114,cal,3.656,2.63,1,2,Kimmeridgian,1.385,2.072,9.72,9.232,5.36,80.4,49.2,0.469885976,0.141449773,0.32570014,6.329123596,1.905256049,4.387014176
115,cal,2.325,4.143,3,1,Argovian,0.505,5.48,34,14,10.92,33.24,54.4,-0.985644707,-0.296708622,-0.68319685,5.054848477,1.521661015,3.50375397
116,cal,4.55,1.416,3,2,Kimmeridgian,1.74,12.4,44.32,18.1,27.72,41.6,73.6,0.799087306,0.240549248,0.553885113,5.378511623,1.619093331,3.728100167
117,cal,4.325,1.436,3,5,Quaternary,0.56,11.6,26.92,19.4,13.72,36.76,57.2,-0.836501268,-0.251811973,-0.579818495,5.200064862,1.565375503,3.604410297
118,cal,3.669,4.291,2,3,Sequanian,1.917,8.44,33.48,8.4,18.72,35.12,59.6,0.938850337,0.282622113,0.650761464,5.13422094,1.545554507,3.558770769
119,cal,1.877,1.186,3,1,Argovian,0.32,3.8,18.2,26.16,6.44,45.2,39.88,-1.64385619,-0.494850022,-1.139434283,5.498250868,1.655138435,3.811097087
120,cal,3.044,1.123,3,3,Sequanian,0.63,12,31.28,18.04,18.68,38.24,80.76,-0.666576266,-0.200659451,-0.46203546,5.257010618,1.582517884,3.643882088
121,cal,3.001,2.581,2,2,Kimmeridgian,4.18,9.6,45.32,8.2,22.2,42.04,81.72,2.063502942,0.621176282,1.430311247,5.393690764,1.623662707,3.738621546
122,cal,3.136,2.091,3,2,Kimmeridgian,1.11,14.2,34.8,17.92,30.32,38.72,79,0.150559677,0.045322979,0.104360015,5.275007047,1.587935349,3.656356262
123,cal,2.633,3.65,3,5,Quaternary,0.425,3.092,22.12,16.2,5.04,50.4,61.6,-1.234465254,-0.37161107,-0.85566611,5.655351829,1.702430536,3.919991175
124,cal,3.721,4.239,3,3,Sequanian,0.28,8,25.96,18,12.28,41.2,46.4,-1.836501268,-0.552841969,-1.272965676,5.364572432,1.614897216,3.718438256
125,cal,2.333,2.367,3,5,Quaternary,1.39,12.36,42.12,59.16,28.2,101.92,135.88,0.475084883,0.1430148,0.329303747,6.671293372,2.008259415,4.624188192
126,cal,4.038,2.354,1,4,Portlandian,2.805,12.2,39.2,10.5,32.92,44,65.6,1.488000771,0.447932866,1.031403539,5.459431619,1.643452676,3.784189634
127,cal,3.117,1.702,3,2,Kimmeridgian,1.71,14.12,42.8,30,35,58.6,106.36,0.773996325,0.23299611,0.536493371,5.87282876,1.767897616,4.070734697
128,cal,1.824,0.999,3,1,Argovian,0.165,3.752,18.6,23.64,7.08,56.4,44,-2.59946207,-0.782516056,-1.801809805,5.817623258,1.751279104,4.032469159
129,cal,2.85,1.89,1,2,Kimmeridgian,1.36,2.816,10.76,8.68,7.08,53.6,28.88,0.443606651,0.133538908,0.3074847,5.744161096,1.72916479,3.981549068
